Log data
地址       消息
66200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppFramework.dll
66600000   卸载 C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.WBlog\Bin\WBlog.dll
67000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
67200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\SystemMsg.dll
67400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppMisc.dll
67C00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\QInterLive.dll
68000000   卸载 C:\WINDOWS.0\system32\rsaenh.dll
68800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
68D60000   卸载 C:\WINDOWS.0\system32\dbghelp.dll
69200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\SkinMgr.dll
69800000   卸载 C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.AudioVideo\bin\AudioVideo.dll
69F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
6A100000   卸载 C:\Program Files\Tencent\QQIntl\Plugin\Com.Tencent.FileTransfer\Bin\FileTransfer.dll
719C0000   卸载 C:\WINDOWS.0\system32\mswsock.dll
71A00000   卸载 C:\WINDOWS.0\system32\wshtcpip.dll
71A10000   卸载 C:\WINDOWS.0\system32\ws2help.dll
71A20000   卸载 C:\WINDOWS.0\system32\ws2_32.dll
73640000   卸载 C:\WINDOWS.0\system32\MSCTFIME.IME
73AF0000   卸载 C:\WINDOWS.0\system32\avicap32.dll
73B40000   卸载 C:\WINDOWS.0\system32\msvfw32.dll
73FA0000   卸载 C:\WINDOWS.0\system32\usp10.dll
74680000   卸载 C:\WINDOWS.0\system32\MSCTF.dll
74BE0000   卸载 C:\WINDOWS.0\system32\oleacc.dll
74CF0000   卸载 C:\WINDOWS.0\system32\mlang.dll
75C60000   卸载 C:\WINDOWS.0\system32\urlmon.dll
76060000   卸载 C:\WINDOWS.0\system32\setupapi.dll
762D0000   卸载 C:\WINDOWS.0\system32\winsta.dll
762F0000   卸载 C:\WINDOWS.0\system32\msimg32.dll
76300000   卸载 C:\WINDOWS.0\system32\imm32.dll
76320000   卸载 C:\WINDOWS.0\system32\comdlg32.dll
765E0000   卸载 C:\WINDOWS.0\system32\crypt32.dll
76680000   卸载 C:\WINDOWS.0\system32\wininet.dll
76990000   卸载 C:\WINDOWS.0\system32\ole32.dll
76B10000   卸载 C:\WINDOWS.0\system32\winmm.dll
76BC0000   卸载 C:\WINDOWS.0\system32\psapi.dll
76C00000   卸载 C:\WINDOWS.0\system32\wintrust.dll
76C60000   卸载 C:\WINDOWS.0\system32\imagehlp.dll
76D30000   卸载 C:\WINDOWS.0\system32\iphlpapi.dll
76DB0000   卸载 C:\WINDOWS.0\system32\msasn1.dll
76E50000   卸载 C:\WINDOWS.0\system32\rtutils.dll
76E60000   卸载 C:\WINDOWS.0\system32\rasman.dll
76E80000   卸载 C:\WINDOWS.0\system32\tapi32.dll
76EB0000   卸载 C:\WINDOWS.0\system32\rasapi32.dll
76EF0000   卸载 C:\WINDOWS.0\system32\dnsapi.dll
76F20000   卸载 C:\WINDOWS.0\system32\wtsapi32.dll
76F90000   卸载 C:\WINDOWS.0\system32\rasadhlp.dll
76FA0000   卸载 C:\WINDOWS.0\system32\clbcatq.dll
77020000   卸载 C:\WINDOWS.0\system32\comres.dll
770F0000   卸载 C:\WINDOWS.0\system32\oleaut32.dll
77180000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77BD0000   卸载 C:\WINDOWS.0\system32\version.dll
77BE0000   卸载 C:\WINDOWS.0\system32\msvcrt.dll
77D10000   卸载 C:\WINDOWS.0\system32\USER32.dll
77DA0000   卸载 C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   卸载 C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   卸载 C:\WINDOWS.0\system32\GDI32.dll
77F40000   卸载 C:\WINDOWS.0\system32\shlwapi.dll
77FC0000   卸载 C:\WINDOWS.0\system32\Secur32.dll
78130000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C420000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
